county_fips,county_name,campus,current_patient_volume,uninsurance_change,hospital_involvement,distance_to_campus_miles,campus_opportunity_score
20027,Clay,Junction City,37,2.5,0.34,40,1.968108504398827
20087,Jefferson,Junction City,115,1.36,0.25,88,1.6918777943368108
20087,Jefferson,Topeka,95,1.36,0.2,31,1.5923543339262536
20041,Dickinson,Junction City,22,1.79,0.33,31,1.5253042722305015
20027,Clay,Topeka,77,2.5,0.18,94,1.4247311827956988
20061,Geary,Topeka,106,1.97,0.11,66,1.3867702674550906
20197,Wabaunsee,Topeka,101,0.26,0.22,36,1.2609750332516065
20161,Riley,Topeka,59,0.48,0.31,61,1.1324806099065747
20139,Osage,Topeka,101,0.62,0.13,29,1.0732887441308911
20061,Geary,Junction City,42,1.97,0.1,6,0.9978406486867619
20177,Shawnee,Topeka,64,0.06,0.19,8,0.81524926686217
20161,Riley,Junction City,60,0.48,0.15,19,0.715202995048315
20197,Wabaunsee,Junction City,43,0.26,0.23,46,0.6221676041215967
20041,Dickinson,Topeka,44,1.79,0.11,83,0.5497421998942358
20177,Shawnee,Junction City,68,0.06,0.15,67,0.35636608015640264
20139,Osage,Junction City,52,0.62,0.13,86,0.22254338733714724
