county_fips,county_name,year,diabetes_patients,acute_care_events,diabetes_acute_care_rate,uninsurance_rate,uninsurance_rate_change,distance_to_topeka_miles,distance_to_junction_city_miles
20177,Shawnee,2023,161,54,33.54,8.52,2.2,8,67
20177,Shawnee,2024,180,59,32.78,8.39,1.81,8,67
20177,Shawnee,2025,205,75,36.59,8.59,0.06,8,67
20061,Geary,2023,273,66,24.18,8.44,0.76,66,6
20061,Geary,2024,263,89,33.84,8.28,2.45,66,6
20061,Geary,2025,294,94,31.97,9.92,1.97,66,6
20041,Dickinson,2023,188,43,22.87,8.99,1.36,83,31
20041,Dickinson,2024,200,59,29.5,10.04,2.45,83,31
20041,Dickinson,2025,210,45,21.43,10.06,1.79,83,31
20027,Clay,2023,146,32,21.92,11.89,2.48,94,40
20027,Clay,2024,164,57,34.76,12.35,1.75,94,40
20027,Clay,2025,171,48,28.07,11.79,2.5,94,40
20161,Riley,2023,177,42,23.73,10.66,1.31,61,19
20161,Riley,2024,192,39,20.31,11.18,2.33,61,19
20161,Riley,2025,210,72,34.29,10.43,0.48,61,19
20087,Jefferson,2023,113,34,30.09,12.26,0.14,31,88
20087,Jefferson,2024,133,29,21.8,12.34,1.24,31,88
20087,Jefferson,2025,157,42,26.75,12.19,1.36,31,88
20139,Osage,2023,247,68,27.53,12.62,2.3,29,86
20139,Osage,2024,270,63,23.33,12.47,1.81,29,86
20139,Osage,2025,256,77,30.08,13.41,0.62,29,86
20197,Wabaunsee,2023,116,27,23.28,10.97,1.92,36,46
20197,Wabaunsee,2024,146,50,34.25,11.85,0.92,36,46
20197,Wabaunsee,2025,141,47,33.33,11.15,0.26,36,46
